Sample_ID,PC1,PC2,PC3,ethnicity
HG00130,-6.771812864299518,-14.153987664843495,2.2114522375265917,European
HG00131,-7.533289649320962,-13.584872365442765,1.8093089555624866,European
HG00132,-7.448607194402824,-14.063718809879274,2.2362852269219897,European
HG00133,-7.090932004259051,-14.304460666413902,1.3093735503907404,European
HG00136,-7.698517156516696,-13.980678593325187,2.294764236117881,European
HG00137,-8.407722062979678,-13.652404827102476,3.5808682385562083,European
HG00138,-7.641461440835508,-13.02257420898542,2.6127659420065616,European
HG00139,-6.033370477428767,-14.244546621030231,2.828993824376983,European
HG00140,-7.374122994554258,-14.115347770783885,2.380112929326778,European
HG00141,-8.246440628794424,-14.672934524024106,2.795196825836043,European
HG00142,-6.799335196677879,-13.497014716645177,3.0494386870262784,European
HG00145,-7.555831232487309,-14.080698689450172,2.7108957420316844,European
HG00148,-6.819046332354917,-13.676133980467178,2.7660105668260586,European
HG00149,-6.738349511669413,-12.219208110564297,2.5518059782349303,European
HG00150,-6.645705074522623,-13.544093533910416,2.9599669602701346,European
HG00151,-6.534925852875006,-12.791148583356092,2.10576902901123,European
HG00154,-7.169271827673352,-14.542964769716765,2.5426052295897956,European
HG00158,-6.448645039573701,-13.249471322313259,2.948582383650493,European
HG00159,-6.657602613021151,-13.94035569192699,2.4641416327069035,European
HG00171,-9.076892433824089,-11.489247783534134,2.651881979230208,European
HG00173,-7.915294301656402,-13.203947726230345,2.6488959518310478,European
HG00174,-7.553619977506135,-13.332648995135749,3.150929139972753,European
HG00176,-6.950170366782025,-11.00186655552328,2.671439234305145,European
HG00177,-8.517882719883708,-12.244111395002735,2.814329622478216,European
HG00178,-7.592367653560915,-11.935586170698803,2.415227625313963,European
HG00179,-7.144058502394511,-12.529658927391813,2.734937453873133,European
HG00180,-7.959872908072477,-11.997591498080059,3.125608178419442,European
HG00181,-6.487747723421833,-12.181175943805506,2.590402786901985,European
HG00182,-8.520836951977094,-12.494058140505237,2.327887745536226,European
HG00183,-7.481509687003562,-12.826157215877952,2.8072476524910828,European
HG00185,-6.584141172787001,-11.875541366649806,2.359914131266109,European
HG00187,-6.807686192277437,-11.463419169204418,2.126959989679413,European
HG00188,-6.2540296383058935,-12.0939083855243,2.7099757529834756,European
HG00189,-8.21557112805905,-11.822753633791235,2.819824112745809,European
HG00190,-7.4436475074972055,-12.801054384197446,2.446915346744281,European
HG00231,-7.9647905269740376,-14.034626506192193,2.8955144493372087,European
HG00232,-6.99870039713388,-13.289934455773986,2.960709439548938,European
HG00233,-6.822607632954969,-14.051110478390907,2.3190489209460816,European
HG00234,-7.2293523632123895,-14.1606919682966,2.1119427753758613,European
HG00235,-6.775619846173755,-13.955682578131674,1.9636416026498036,European
HG00236,-7.025037061178151,-13.742181282423513,1.855169850813064,European
HG00237,-7.744766751459981,-13.717416182994832,1.8400348046592727,European
HG00238,-6.877614255846358,-13.747582688097088,1.9351259838994155,European
HG00239,-6.788784811190696,-14.806304287251045,2.7334668627119454,European
HG00240,-7.081794036999718,-14.215525737080954,2.1913376944782943,European
HG00242,-7.295949441052647,-14.4763762585592,2.4197359368743445,European
HG00244,-7.469670368749703,-13.133064274742813,3.085722592441854,European
HG00245,-7.205298913290009,-12.929702043272867,1.9339748967196368,European
HG00246,-6.503650200586475,-13.608654722890064,2.193779328886618,European
HG00250,-7.194121855118878,-14.5725409317954,2.6272734880678823,European
HG00251,-7.08792026394965,-12.974166288150581,2.3235928466772293,European
HG00252,-6.8873309060335375,-12.935877354766822,2.5822157955829534,European
HG00253,-7.294584689789435,-14.27190471302321,2.497029915605032,European
HG00254,-7.873989750216626,-14.39827865198941,1.6122793190207743,European
HG00255,-7.2873048172935295,-14.31964572337783,2.2291735710762612,European
HG00256,-7.4313786560664035,-13.860547675076548,2.005104743065815,European
HG00257,-8.075328939030655,-13.764612828683717,3.6860378302086327,European
HG00258,-7.790824016827709,-13.50486883064734,3.1379833285809777,European
HG00261,-7.554774280469675,-13.851786378963114,3.463337809911075,European
HG00262,-7.476218547999498,-13.223602463216679,2.8919351910866724,European
HG00263,-7.487695755560168,-14.492420933684624,3.117113317348573,European
HG00264,-6.792201280424517,-13.4068201558876,2.2074966888649272,European
HG00265,-7.571012630363886,-14.233389567752607,2.585882214304513,European
HG00266,-7.805519902757966,-12.73614546983295,2.903788250731585,European
HG00267,-6.65597676349521,-10.990903798242188,1.6454747450209448,European
HG00268,-7.233754475776564,-11.186737685796814,2.3296377885142068,European
HG00269,-8.45302674359536,-13.141216575107075,2.3858334379603714,European
HG00271,-7.236123210204169,-11.549840269524633,2.940444124764472,European
HG00272,-6.724260083944392,-11.613317096626314,3.5645348760186497,European
HG00273,-7.996210740165977,-13.754392264282526,2.061078380389258,European
HG00274,-8.003203670822733,-12.514507663671177,2.4925179249911955,European
HG00275,-6.600244617023926,-12.629967990652741,3.227318617417549,European
HG00276,-7.702699121353682,-12.604590729727617,1.6533546371830712,European
HG00277,-7.103358483616965,-13.829647083271837,3.01871463054362,European
HG00278,-6.991307099122214,-11.332182943420928,2.239710028033901,European
HG00280,-7.875851044835002,-11.470009110649745,2.8422018675907545,European
HG00281,-8.80817526143078,-12.554797332695214,3.0016294880322243,European
HG00282,-7.139485362113114,-11.4613185770597,3.0777120400195903,European
HG00284,-8.679051893474002,-11.877737255839483,2.9081793089780787,European
HG00285,-9.283136843920646,-11.508257309774958,2.898365979515072,European
HG00288,-8.206202375598096,-12.126139196554654,0.9173858264247472,European
HG00290,-7.907042285293038,-11.697221520598355,0.08122189670006248,European
HG00304,-9.145375324343066,-11.408654714042882,0.5199682726624667,European
HG00306,-8.849573925515168,-13.758014295308058,2.2609698141109718,European
HG00308,-6.10886923785225,-11.86021502955341,3.6219744756716885,European
HG00309,-7.813788911225688,-12.533502780006847,2.4760732005902115,European
HG00310,-7.040526673333327,-12.916202028346818,2.4926934039919013,European
HG00313,-8.375615171178284,-12.5543538302912,4.086411408396259,European
HG00315,-7.388417252263787,-12.33267584479097,2.9879075332710636,European
HG00318,-8.503182951729324,-12.515522342942422,3.2648640602754635,European
HG00319,-8.146654907977904,-11.99479021813257,2.993615899314972,European
HG00320,-7.873536916214498,-12.21333100057792,2.678071046483222,European
HG00321,-7.159427101545888,-11.203761574871221,2.6693473688860454,European
HG00323,-7.5187070433291865,-12.11770501637771,2.3955462331856263,European
HG00324,-7.2198604389726535,-11.340702297229097,3.005403871678843,European
HG00325,-9.653137839223437,-11.527963192729068,2.3660315871738002,European
HG00326,-8.060205157435526,-11.980957180720576,2.167872762194965,European
HG00327,-6.084829901030014,-12.278380116747108,3.0721734067990747,European
HG00328,-8.52553455817732,-12.558377699105032,2.2474485698593987,European
HG00330,-7.114776735328489,-13.366290331052253,2.9364377707071143,European
HG00331,-8.811022733954275,-11.70663174744591,2.4518665820395666,European
HG00332,-9.235711617154651,-11.907067291303532,3.022429405307949,European
HG00334,-8.11110164591481,-13.213848371256033,2.2005887590929705,European
HG00335,-6.452728649380565,-12.796126571208351,2.249793629485624,European
HG00336,-6.672264341032861,-13.339322418565967,2.952632344994134,European
HG00337,-8.019726533062666,-11.989794870493734,1.936371522067297,European
HG00338,-7.333284279748994,-12.09310865822821,2.8099421739288193,European
HG00339,-7.289647898512701,-12.058281442153483,3.187353867651151,European
HG00341,-7.166915063210492,-12.064858301501589,2.255596137528237,European
HG00342,-6.7652837688432115,-13.146090557227714,3.235936779976016,European
HG00343,-8.398351397486838,-11.949511730865959,2.0927263833311773,European
HG00344,-7.752211655723434,-12.581265225754924,1.6708271820505884,European
HG00345,-8.610668181694672,-11.043934309046739,2.0424874020387422,European
HG00346,-8.21184326227009,-12.347416759336554,2.92039560655887,European
HG00349,-7.0675596838382715,-11.960334590402638,3.296030467600654,European
HG00351,-7.538027284040839,-11.90894158781041,2.9130593663919075,European
HG00353,-8.470024900452582,-11.504709754434545,2.9725609576011665,European
HG00355,-8.84869176982026,-12.882779452139545,2.9455023349436584,European
HG00356,-6.788179128358531,-12.984308634384139,4.9607160212606285,European
HG00357,-8.394895423097912,-12.153438006777538,2.514506909119499,European
HG00358,-7.029296281285826,-12.130443125232409,2.5916415597576217,European
HG00360,-7.219791584300513,-12.61823151793263,1.6971822307142852,European
HG00361,-8.937642651728163,-11.379579590563884,1.8741157575437952,European
HG00362,-7.16166944331588,-12.169439251069763,3.12486263029612,European
HG00364,-7.624602698039034,-11.955654211138945,3.4547045924948088,European
HG00365,-6.9996055689165315,-11.394695925830295,2.563470448059324,European
HG00366,-7.700872611130969,-12.76265544701199,3.1296266951989007,European
HG00367,-7.690686545972854,-11.71903889419042,3.5996820653665385,European
HG00368,-6.947570494446283,-11.769941528830913,2.1994881777510553,European
HG00369,-7.118718394760715,-12.203390723510429,2.578297855561584,European
HG00371,-7.477866260572745,-11.385713217502454,2.110933552736343,European
HG00372,-7.7494207989893225,-12.485512254662629,2.712299623656457,European
HG00373,-7.71496306035153,-11.358117560391607,3.1898928830375763,European
HG00375,-7.790746795700196,-11.750289879670847,3.283685180963538,European
HG00376,-7.282367761194792,-12.825487653126558,2.942459581357147,European
HG00378,-8.20561881662066,-12.031679139521742,3.987083094382138,European
HG00380,-8.286957617039167,-12.795303079741405,2.355238879604144,European
HG00381,-7.31659122844423,-12.338706802004078,2.9223146164915454,European
HG00382,-6.355688802880646,-12.455375476330774,2.3448889836968028,European
HG00383,-6.959670993550995,-11.566017840288252,3.648247779027458,European
HG00384,-7.669301919036551,-11.873637820389973,3.097662949136469,European
HG00403,-9.545089973460069,17.013613086429626,0.5037907334276844,East Asian
HG00404,-8.265925896930836,18.00908009634633,0.6675773102294398,East Asian
HG00406,-10.389469695418343,16.877059962798725,1.9068786880914108,East Asian
HG00407,-9.636116586127011,17.94603581792977,0.39591111748397917,East Asian
HG00409,-9.475417405143139,17.36392470687748,0.4906357447449664,East Asian
HG00410,-9.545217693192196,16.90408471894316,-0.7439711202026841,East Asian
HG00419,-9.020685281634549,17.71996155274744,1.5450563899905672,East Asian
HG00421,-10.472363153176374,16.827653236850356,0.7033415413270097,East Asian
HG00422,-9.815289904336808,16.689188937046247,1.497244447641107,East Asian
HG00428,-9.810705527470244,17.50711011799565,1.97092480194554,East Asian
HG00436,-9.991342657355045,17.40483211623036,1.4265828939875502,East Asian
HG00437,-9.759554079573668,16.65113730780528,1.5758607357688772,East Asian
HG00442,-8.244225672108017,18.549690663614022,2.3766152913846064,East Asian
HG00443,-11.703132016105432,16.534879728089294,1.54974791195615,East Asian
HG00445,-10.022268496128353,16.7543423972973,2.1854135400060666,East Asian
HG00446,-10.06444322148488,16.672487194660835,2.0467825824255743,East Asian
HG00448,-9.906717277719105,16.20884713408263,1.2190756881221136,East Asian
HG00449,-10.758133903672695,17.639162639513795,1.4753986403829795,East Asian
HG00451,-9.560439470981795,17.345454094944206,2.3179305859319466,East Asian
HG00452,-10.783496441914163,17.84901372308174,1.5570575383109908,East Asian
HG00457,-8.914817325094912,17.359089571351568,1.9600013351374828,East Asian
HG00458,-10.83120471746769,16.605629767144165,-0.04131756211476324,East Asian
HG00463,-10.307834488092034,17.232020302683885,1.8018072049371066,East Asian
HG00464,-9.485327587109346,16.954396798288233,2.2882974608203623,East Asian
HG00472,-9.548874829026142,17.67119555423296,1.7735592920331855,East Asian
HG00473,-9.268345734887543,18.01677946798304,1.181570266856489,East Asian
HG00475,-9.468429851287338,16.71411868684343,2.0640006732885783,East Asian
HG00476,-8.950664122299262,18.698937003435905,1.3708524490274072,East Asian
HG00478,-9.758353268469344,16.060736643302224,1.2746105706352857,East Asian
HG00479,-10.140706831632183,17.031793991266234,0.2347188473575542,East Asian
HG00500,-10.51470622023642,17.391109129922103,2.9292896640101893,East Asian
HG00513,-9.316762382916101,17.342261900499295,0.6419423956823713,East Asian
HG00524,-10.009674590897434,17.23534985297412,0.8977067429986023,East Asian
HG00525,-9.326673591817261,16.94278964058783,3.161763993066928,East Asian
HG00530,-9.12965764199698,18.27730556281524,2.311543675377012,East Asian
HG00531,-8.8118848333382,17.351778903381664,0.9586962166988887,East Asian
HG00533,-10.292543927242658,16.61774132859403,1.7433611528929764,East Asian
HG00534,-9.279010437016087,16.655350506409597,2.276826800275709,East Asian
HG00536,-9.274893512957444,16.92439348008962,1.1904071597743593,East Asian
HG00537,-10.48899145383451,16.55846984310332,1.546040045908753,East Asian
HG00542,-9.856187274449958,17.3372614263213,1.6801672810204338,East Asian
HG00543,-10.124601645519531,17.44025522211687,1.0192631718438834,East Asian
HG00551,-3.433672102856323,-8.966683935715226,3.801086370035183,Ad Mixed American
HG00553,-1.5143392104078197,-6.9753281018747035,4.645022766134378,Ad Mixed American
HG00554,-5.112723999051681,-9.90035621215895,3.720809213877711,Ad Mixed American
HG00556,-9.814080124647958,17.31276617772172,1.6825725362003632,East Asian
HG00557,-10.278590452861897,16.97689145956583,1.2173527977777916,East Asian
HG00559,-9.701484588102508,17.320770386988265,1.380888963206898,East Asian
HG00560,-10.058910605450116,17.23637402332709,1.8191389216759217,East Asian
HG00565,-9.690667604120065,16.797018406022094,1.3353850092908017,East Asian
HG00566,-10.687878533327224,17.443979026688808,1.569121955651324,East Asian
HG00580,-11.832234395616094,15.989290353302765,2.1162589196065915,East Asian
HG00581,-10.486648478991864,16.57735222773427,0.7225088344575935,East Asian
HG00583,-9.361666327650989,16.416125700118904,2.191867327170549,East Asian
HG00584,-9.523311432186876,17.414444015484044,2.6878013232765854,East Asian
HG00589,-9.883209164615687,17.302822716546153,1.888511833479664,East Asian
HG00590,-10.14182507346129,16.81732006795944,0.7272139574723409,East Asian
HG00592,-9.208523134931482,16.342801937457835,2.411175008817503,East Asian
HG00593,-10.855674496929328,17.00198175961493,0.5308664350000821,East Asian
HG00595,-10.222220229507176,16.432858755061172,1.5172238414371466,East Asian
HG00596,-9.697770080821886,17.043864048588997,0.8178863202741834,East Asian
HG00598,-9.980577785759262,16.37054150050401,0.8683511960571489,East Asian
HG00599,-9.917513226196176,17.236489589493225,0.8001985362611752,East Asian
HG00607,-10.541723183856924,17.56615439722457,1.3435953363718713,East Asian
HG00608,-10.182500140824152,17.574672338013713,1.5944038066576336,East Asian
HG00610,-10.322065570512946,17.592979217648693,1.4787793004322332,East Asian
HG00611,-9.507434507476722,17.321869052218144,1.9184045534767045,East Asian
HG00613,-10.115270039947525,16.952756264666725,1.0991790436197062,East Asian
HG00614,-9.929135468223597,16.599839980625866,1.871150015387409,East Asian
HG00619,-9.475234587832796,17.57287115096852,2.0001394960283907,East Asian
HG00620,-10.570024460862804,17.464491182107377,2.257631316253563,East Asian
HG00622,-9.303655649533619,17.50089969868853,-0.1825757890412163,East Asian
HG00623,-10.186775453181086,16.795896360205866,-0.6641939668446224,East Asian
HG00625,-9.835608069428387,17.553824301730007,1.3060887727157888,East Asian
HG00626,-9.980739602346734,17.78130249506804,1.6303110914395278,East Asian
HG00628,-9.812796979282176,16.01495879487872,2.1975947269141813,East Asian
HG00629,-9.910668823807155,18.37813565813844,1.7324479493391132,East Asian
HG00631,-8.688642143437775,16.375426547219668,-0.20491037057107053,East Asian
HG00632,-9.166224486659736,17.533682148992526,-0.387283573498419,East Asian
HG00634,-9.456706494829199,16.887507232491828,1.3732395509675108,East Asian
HG00637,-2.6303053514024066,-8.740328852364094,4.278294928231775,Ad Mixed American
HG00638,-1.4818247660340138,-8.293405713053845,4.66971424228744,Ad Mixed American
HG00640,-4.3999443222177534,-10.223779276100382,3.7408345780012744,Ad Mixed American
HG00641,-4.550791244493555,-9.517996174737533,4.135560563571213,Ad Mixed American
HG00650,-9.816939370701535,17.839770785994688,0.82340668635307,East Asian
HG00651,-9.692819957038589,17.753537554093352,2.3083424021422676,East Asian
HG00653,-9.551436868869251,17.241533974535866,1.3091688138471789,East Asian
HG00654,-9.909845029036829,17.361812598703075,2.692426211759415,East Asian
HG00656,-9.92827636265062,16.47994490792201,1.2682147685254566,East Asian
HG00657,-9.795279327668952,17.38004794913555,2.160392645501789,East Asian
HG00662,-10.305579760534084,17.571122711865257,0.9457731575363133,East Asian
HG00663,-10.231140320581575,17.240628576603427,1.2579832021823059,East Asian
HG00671,-9.60327644002788,16.43161642097441,1.0522883941072667,East Asian
HG00672,-10.16049460838764,17.058940971474776,2.345834088338549,East Asian
HG00674,-8.651261039455587,17.623999379022642,0.4801632962471191,East Asian
HG00675,-10.35442211158647,16.726582296034763,1.1827733876707216,East Asian
HG00683,-9.835589368609773,17.92162371943279,0.39608870444467265,East Asian
HG00684,-10.074437555639173,17.799077592668635,1.3483393647206237,East Asian
HG00689,-9.541021220834422,17.332198912539123,0.7826158712474983,East Asian
HG00690,-10.182709736992495,17.78630770529038,1.5507674390899848,East Asian
HG00692,-8.763652468783262,16.808125567918296,0.9025968260596692,East Asian
HG00693,-9.864743224676928,17.723384228232558,1.9417784843838501,East Asian
HG00698,-9.949424739920639,17.88734724905864,1.432492732547222,East Asian
HG00699,-10.415081188603684,17.400829745177152,0.9617492631539414,East Asian
HG00701,-11.161367541996974,16.629462018043874,0.30654747003233085,East Asian
HG00704,-9.444012339014735,18.535531087027877,3.2172779627921804,East Asian
HG00707,-10.26678352471996,17.482184542224147,2.644988132041743,East Asian
HG00708,-10.028406256946578,17.095545218111436,1.4983799828996662,East Asian
HG00717,-9.207782889028817,17.414606907439,1.240160513541897,East Asian
HG00728,-9.410362174343062,16.188287097378172,0.04464533549928455,East Asian
HG00729,-9.43189032182123,18.266112216453948,0.1489623528235091,East Asian
HG00731,-6.464438163635533,-11.787701385880592,4.481441921577191,Ad Mixed American
HG00732,-4.839231710948757,-10.412053731001253,3.6516172116457764,Ad Mixed American
HG00734,-3.1940597103395882,-8.26317410957961,5.413534646117411,Ad Mixed American
HG00736,-5.185945709079025,-11.143328114077283,4.200453312816482,Ad Mixed American
HG00737,-5.506130300411488,-10.567788582838112,5.503700616919776,Ad Mixed American
HG00739,-5.430843354270897,-11.656197945568893,2.8557948520857295,Ad Mixed American
HG00740,-5.470678318872905,-10.019995709879808,3.819393495890011,Ad Mixed American
HG00742,-4.382485738806101,-11.687218195727212,2.2524760244197997,Ad Mixed American
HG00743,-3.857522024219215,-7.652140684347988,4.454070927301144,Ad Mixed American
HG00759,-10.231516062217679,17.313412046865693,1.3765513533598182,East Asian
HG00766,-10.026667749697824,17.07123863163167,0.7190746995563072,East Asian
HG00844,-10.021792961448554,17.227590269412847,2.3573025949004953,East Asian
HG00851,-10.053897047417765,17.314381866784004,1.3806075251092407,East Asian
HG00864,-9.986839813642538,16.4983433340725,0.3143818284211854,East Asian
HG00867,-9.103286645902953,16.92899890027201,2.619191170982012,East Asian
HG00879,-10.012081924255977,16.937592946303788,1.106066785621758,East Asian
HG00881,-9.021831258481457,16.56588877392086,0.4874737972170777,East Asian
HG00956,-9.360167840247648,16.63707356541257,2.5639757890439716,East Asian
HG00978,-10.23215778746257,17.49234229341462,0.7496387844134693,East Asian
HG00982,-10.068572140407179,17.121588430653325,1.5539679742783539,East Asian
HG01028,-10.004507894002039,16.79339380723435,0.011328781441524813,East Asian
HG01029,-9.4693609914051,17.89380382226287,1.3820252372738362,East Asian
HG01031,-10.88477162000206,15.12248734437757,0.9077271122091554,East Asian
HG01046,-10.868580643385073,17.30450901851915,1.2743527522866946,East Asian
HG01047,-3.7063651306701306,-10.94633418498219,3.4088445942127192,Ad Mixed American
HG01048,-4.966825198150582,-8.918292793993825,3.223222697163571,Ad Mixed American
HG01049,-0.0509304938328988,-8.187862614519252,4.72992151834238,Ad Mixed American
HG01051,-0.6226610027766191,-6.5219421666020265,4.812826060635381,Ad Mixed American
HG01052,-0.2606366237834763,-6.654981267016676,4.927299666568839,Ad Mixed American
HG01054,-5.930353890031743,-10.289058037402077,4.663458153786302,Ad Mixed American
HG01055,-3.348506620473097,-9.848441678618705,3.3618451942814604,Ad Mixed American
HG01058,-3.9336900905437657,-7.892998992638018,3.927495143319453,Ad Mixed American
HG01060,-5.159585547096999,-9.545532318332182,4.998295466192198,Ad Mixed American
HG01061,-5.663985185157075,-9.64099902353699,4.334550315094654,Ad Mixed American
HG01063,2.684201092695305,-5.686630348173321,2.3503159304495758,Ad Mixed American
HG01064,-0.30636169928920426,-8.014335434142062,2.3437141685658642,Ad Mixed American
HG01066,-4.86899581269915,-9.55614449935292,3.7816712802584345,Ad Mixed American
HG01067,-4.932862299669919,-10.630366613039069,4.8489114118136705,Ad Mixed American
HG01069,-4.613330734507224,-9.370854364936338,4.366737334029555,Ad Mixed American
HG01070,-5.351140635308821,-9.871566787455063,4.119620166280695,Ad Mixed American
HG01072,-4.163067441340966,-9.893273215288728,4.163879805559071,Ad Mixed American
HG01073,-4.114014011202169,-10.482499580535052,4.779695820111067,Ad Mixed American
HG01075,-3.660210771499609,-11.866897835644144,3.1068707126883575,Ad Mixed American
HG01077,-1.2528157169461331,-6.773061597494062,3.3605465649073745,Ad Mixed American
HG01079,-2.9993656392645,-8.150612496050108,3.528582294786548,Ad Mixed American
HG01080,-4.422249875210501,-7.632344229450547,5.241263722059667,Ad Mixed American
HG01082,-0.8819087606379851,-7.892658656362687,3.1709042949725754,Ad Mixed American
HG01083,-2.9038600025208727,-7.496546952809484,4.448552069463332,Ad Mixed American
HG01085,-3.0278338311824275,-9.291951175172034,3.8004030580814856,Ad Mixed American
HG01086,-3.2223499199425842,-7.8570700437039385,4.462441406718006,Ad Mixed American
HG01088,-0.7349290757413832,-7.679791399127373,1.7625148618184907,Ad Mixed American
HG01089,-3.759630663420102,-8.647387079530429,1.5503072847370056,Ad Mixed American
HG01092,-0.4103366553705602,-7.045533265271145,2.061770952402976,Ad Mixed American
HG01094,-3.2761582785908567,-8.676829715099442,3.5657245048719384,Ad Mixed American
HG01095,-3.756842159030616,-9.239836634233653,3.9752055210658894,Ad Mixed American
HG01097,-4.765457785838288,-9.428648251606399,5.194344226561132,Ad Mixed American
HG01098,-3.32313245116764,-9.683871777108838,4.9217135035082205,Ad Mixed American
HG01101,-3.266159070914358,-8.092152193369385,4.551676304163749,Ad Mixed American
HG01102,-1.6586588845016081,-8.242233919975593,4.306892310027502,Ad Mixed American
HG01104,-3.7797526180787,-9.950615642389854,4.778969681597485,Ad Mixed American
HG01105,-4.721229312029181,-11.10244133280844,3.4762068816534666,Ad Mixed American
HG01107,-1.7041021225625788,-6.983755719810513,3.8289441181597312,Ad Mixed American
HG01108,11.228164259631896,-1.6203315800296985,2.663107179953857,Ad Mixed American
